                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3621,                  1.557,                 1.1172,                0.67651,                0.62717,                0.66491,                0.42007,                  1.286,                 1.0449,                 1.1051,             0.00047489,             0.00047489,             0.00047489
                      1,                  1.301,                0.98481,                 1.0968,                  0.754,                 0.6757,                0.73173,                0.45795,                 1.3244,                0.89216,                 1.1388,             0.00093239,             0.00093239,             0.00093239
                      2,                 1.2942,                 0.8781,                 1.0997,                0.72365,                0.73111,                 0.7494,                0.47348,                 1.3212,                0.79239,                 1.1609,               0.001371,               0.001371,               0.001371
                      3,                 1.2775,                0.82769,                 1.0991,                0.73849,                0.73436,                0.75586,                0.47874,                 1.2593,                 0.7303,                 1.1087,              0.0013441,              0.0013441,              0.0013441
                      4,                 1.2619,                0.79643,                 1.0901,                0.82849,                0.77946,                0.83122,                0.52403,                 1.2453,                0.71749,                 1.1171,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.2551,                0.75014,                 1.0896,                0.87501,                0.74531,                0.82792,                0.52327,                 1.2539,                0.67585,                 1.1138,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.2391,                 0.7419,                 1.0873,                0.88296,                0.80645,                0.88112,                0.56808,                 1.2379,                0.63612,                 1.1174,              0.0012875,              0.0012875,              0.0012875
                      7,                  1.236,                0.71319,                 1.0844,                0.84101,                0.75771,                 0.8279,                0.54248,                 1.2249,                0.66485,                  1.106,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.2139,                0.69934,                 1.0771,                0.75535,                0.77668,                0.78621,                0.50815,                 1.2758,                0.69947,                 1.1414,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.2059,                0.69402,                 1.0739,                0.88213,                 0.8233,                0.88316,                0.58106,                 1.2155,                0.60162,                 1.1066,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.2071,                0.68281,                  1.071,                0.88651,                0.80643,                0.88005,                0.57945,                 1.2063,                0.60785,                 1.0999,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.1872,                0.66946,                 1.0674,                0.85602,                0.84057,                0.88871,                0.59606,                 1.2043,                0.60887,                 1.0908,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.1958,                0.66697,                 1.0623,                0.87713,                0.81298,                0.88123,                0.59142,                 1.1901,                0.59015,                 1.0884,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.1813,                 0.6429,                 1.0594,                0.90243,                0.80788,                 0.8917,                0.59361,                 1.1928,                0.57638,                 1.0944,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.1679,                0.63388,                 1.0599,                 0.9114,                0.82237,                0.90969,                0.61382,                 1.1864,                0.55847,                 1.0816,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.1775,                0.62884,                 1.0641,                0.87741,                0.81862,                0.88531,                 0.6031,                 1.2002,                0.57401,                 1.0953,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.1627,                0.62384,                  1.055,                0.87219,                0.83673,                0.88449,                0.60489,                 1.1756,                0.55858,                  1.084,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.1608,                0.61614,                 1.0519,                0.86569,                 0.8397,                0.88214,                0.59691,                 1.1773,                0.55441,                 1.0816,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.1516,                0.59885,                 1.0499,                0.90037,                0.86229,                0.91618,                0.61793,                 1.1706,                   0.55,                  1.082,               0.000948,               0.000948,               0.000948
                     19,                 1.1533,                0.60624,                 1.0474,                0.88542,                0.84323,                0.90642,                0.62542,                 1.1605,                0.53643,                 1.0748,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.1446,                0.58951,                 1.0447,                0.90094,                 0.8342,                0.89575,                0.61887,                 1.1708,                0.54461,                 1.0852,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.1399,                0.58629,                 1.0465,                0.90834,                0.82326,                0.90843,                0.62432,                 1.1714,                0.53828,                 1.0859,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.1385,                0.57946,                 1.0434,                0.88104,                0.84025,                0.90348,                0.61857,                 1.1717,                0.53817,                 1.0763,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.1324,                0.57645,                  1.041,                 0.9139,                0.84268,                 0.9176,                0.62237,                 1.1704,                0.53584,                 1.0809,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.1181,                0.56926,                 1.0373,                0.89651,                0.86228,                0.92158,                 0.6374,                 1.1575,                0.51871,                 1.0795,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.1229,                0.56591,                 1.0372,                0.93221,                0.83493,                0.91996,                0.63351,                 1.1642,                0.52283,                 1.0769,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.1124,                0.56098,                 1.0329,                0.91354,                0.86744,                0.92799,                0.64834,                  1.154,                0.51732,                 1.0707,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.1196,                0.56252,                 1.0375,                0.88865,                0.86472,                0.91843,                0.63536,                 1.1565,                0.52274,                 1.0701,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.1126,                0.55645,                 1.0289,                 0.9156,                0.86443,                0.92627,                0.64288,                 1.1478,                 0.5061,                 1.0663,             0.00066506,             0.00066506,             0.00066506
                     29,                  1.109,                0.54896,                 1.0292,                0.89338,                0.86075,                0.91674,                0.64403,                 1.1587,                0.51222,                 1.0737,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.1089,                0.54435,                 1.0259,                0.90539,                0.89342,                0.93056,                0.64777,                 1.1502,                0.50157,                 1.0698,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.0968,                0.53773,                 1.0284,                 0.9031,                0.87904,                0.93084,                0.64808,                 1.1484,                0.49675,                 1.0651,             0.00058017,             0.00058017,             0.00058017
                     32,                  1.093,                0.53338,                 1.0265,                0.91135,                0.87388,                0.92454,                0.63968,                 1.1451,                0.49989,                 1.0714,             0.00055188,             0.00055188,             0.00055188
                     33,                 1.0914,                0.53221,                  1.022,                0.91342,                0.86131,                0.92583,                0.64925,                 1.1421,                0.49711,                 1.0624,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.0813,                0.52111,                 1.0181,                0.91523,                0.86309,                0.92285,                0.64429,                 1.1455,                0.49996,                 1.0723,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.0774,                0.52074,                 1.0175,                0.90707,                0.87167,                  0.928,                0.65171,                 1.1391,                0.48956,                 1.0628,               0.000467,               0.000467,               0.000467
                     36,                 1.0781,                0.51574,                 1.0159,                 0.9055,                0.87316,                0.92549,                0.65156,                 1.1416,                0.48801,                 1.0649,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.0768,                 0.5123,                 1.0128,                 0.9113,                0.87294,                0.92621,                0.65431,                 1.1352,                0.49031,                 1.0624,             0.00041041,             0.00041041,             0.00041041
                     38,                  1.067,                0.50551,                 1.0119,                0.90305,                0.87607,                0.92786,                0.65706,                   1.14,                0.48264,                 1.0662,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.0635,                 0.4991,                 1.0114,                0.92667,                0.85509,                0.92686,                0.65214,                 1.1378,                0.48084,                 1.0623,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.0502,                0.45678,                 1.0209,                0.91199,                0.87888,                0.92797,                0.65565,                 1.1356,                 0.4878,                 1.0652,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.0399,                0.44898,                  1.011,                0.91875,                0.86945,                0.92806,                0.65749,                 1.1365,                0.48304,                 1.0636,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.0373,                0.44437,                  1.014,                0.91727,                0.85863,                0.92546,                0.65457,                 1.1352,                0.48334,                 1.0636,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.0283,                0.43957,                 1.0071,                0.91323,                0.87084,                0.92356,                0.65399,                 1.1359,                 0.4815,                 1.0622,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.0234,                0.43642,                 1.0015,                0.91775,                0.86151,                0.92386,                0.65577,                  1.135,                0.47949,                 1.0574,             0.00021235,             0.00021235,             0.00021235
                     45,                 1.0146,                0.42772,                 1.0001,                 0.8988,                 0.8803,                0.92391,                0.65403,                 1.1317,                0.47892,                 1.0577,             0.00018406,             0.00018406,             0.00018406
                     46,                 1.0073,                0.42421,                0.99829,                0.90836,                0.87678,                0.92808,                0.65882,                 1.1288,                0.47848,                  1.058,             0.00015576,             0.00015576,             0.00015576
                     47,                 1.0082,                 0.4224,                0.99502,                0.90214,                0.88062,                0.92692,                0.65741,                 1.1301,                0.47376,                 1.0571,             0.00012747,             0.00012747,             0.00012747
                     48,                0.99562,                0.41497,                0.99131,                0.91062,                0.88668,                0.92799,                0.66081,                  1.131,                0.47245,                 1.0582,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.99431,                0.41435,                0.99124,                0.90684,                0.88192,                0.92475,                0.65835,                 1.1287,                0.46967,                 1.0568,             7.0878e-05,             7.0878e-05,             7.0878e-05
