                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0812,                0.50461,                  1.017,                0.94432,                0.91989,                0.96147,                0.66928,                  1.142,                 0.4815,                 1.0617,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.0839,                0.50407,                 1.0162,                0.93782,                0.92404,                0.96143,                0.67199,                 1.1473,                 0.4825,                 1.0635,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.0662,                0.49594,                 1.0154,                0.93993,                0.91445,                0.96076,                0.66954,                 1.1455,                0.48535,                 1.0639,             0.00051177,             0.00051177,             0.00051177
                     37,                  1.072,                0.49513,                  1.014,                0.93713,                0.92908,                0.96459,                0.67709,                 1.1365,                0.47001,                 1.0567,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.0608,                0.49067,                 1.0092,                0.94283,                0.92263,                0.96495,                0.67544,                 1.1351,                0.46998,                 1.0574,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.0631,                0.48817,                  1.009,                0.94501,                 0.9153,                0.96384,                0.67635,                 1.1329,                0.47299,                 1.0595,             0.00041275,             0.00041275,             0.00041275
                     40,                  1.052,                0.44504,                 1.0191,                0.94371,                0.91754,                0.96522,                0.67678,                 1.1356,                0.47443,                 1.0618,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.0417,                0.43792,                 1.0085,                0.93517,                 0.9272,                 0.9652,                0.68192,                 1.1313,                0.46837,                 1.0568,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.0385,                0.43391,                 1.0095,                 0.9366,                0.92663,                0.96256,                0.68047,                 1.1297,                0.46773,                 1.0553,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.0269,                0.42874,                 1.0075,                0.94549,                0.91928,                0.96226,                0.67946,                 1.1263,                0.46684,                 1.0567,             0.00028072,             0.00028072,             0.00028072
                     44,                  1.019,                0.42585,                0.99913,                0.94646,                 0.9192,                 0.9644,                0.68207,                 1.1271,                0.46596,                 1.0543,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.0186,                0.42002,                0.99987,                0.93199,                  0.932,                0.96357,                0.68068,                 1.1294,                0.46247,                 1.0536,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.0125,                0.41743,                0.99685,                0.94243,                0.92435,                0.96546,                0.68198,                 1.1298,                0.46189,                 1.0553,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.0046,                 0.4113,                0.99644,                0.94187,                0.92388,                0.96557,                0.68555,                 1.1255,                 0.4633,                 1.0559,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.0005,                0.40745,                0.99479,                0.94428,                0.92198,                0.96511,                0.68413,                  1.127,                0.45857,                 1.0562,             0.00011569,             0.00011569,             0.00011569
                     49,                0.99504,                0.40433,                0.99179,                0.94386,                0.91958,                0.96466,                0.68415,                 1.1271,                0.45869,                 1.0557,             8.2683e-05,             8.2683e-05,             8.2683e-05
